id,nuts2,nuts2_method
BE_191,BE23,inside
BE_192,BE22,inside
BE_193,BE33,inside
BE_194,BE32,inside
BE_195,BE33,inside
BE_196,BE32,inside
BE_197,BE33,inside
BE_198,BE25,inside
BE_199,BE23,inside
BE_2,BE10,inside
BE_20,BE31,inside
BE_200,BE23,inside
BE_201,BE22,inside
BE_201513,BE23,inside
BE_202,BE22,inside
BE_202970,BE25,inside
BE_203,BE23,inside
BE_203011,BE25,inside
BE_203795,BE33,inside
BE_203830,BE21,inside
BE_203832,BE21,inside
BE_203833,BE21,inside
BE_203837,BE21,inside
BE_203882,BE23,inside
BE_203884,BE21,inside
BE_203896,BE21,inside
BE_203897,BE21,inside
BE_203912,BE23,inside
BE_203913,BE23,inside
BE_203915,BE21,inside
BE_203916,BE21,inside
BE_204,BE33,inside
BE_204032,BE24,inside
BE_204096,BE21,inside
BE_204097,BE21,inside
BE_204109,BE21,inside
BE_204158,BE21,inside
BE_204193,BE21,inside
BE_204195,BE21,inside
BE_204481,BE21,inside
BE_204482,BE21,inside
BE_205,BE35,inside
BE_205438,BE22,inside
BE_205440,BE21,inside
BE_205441,BE21,inside
BE_205484,BE22,inside
BE_205496,BE25,inside
BE_205501,BE23,inside
BE_205502,BE25,inside
BE_205505,BE25,inside
BE_205511,BE21,inside
BE_205518,BE33,inside
BE_205519,BE23,inside
BE_205520,BE23,inside
BE_205536,BE21,inside
BE_205537,BE21,inside
BE_205617,BE23,inside
BE_205667,BE21,inside
BE_205687,BE33,inside
BE_205717,BE33,inside
BE_205718,BE32,inside
BE_205719,BE34,inside
BE_205720,BE32,inside
BE_205721,BE32,inside
BE_205722,BE32,inside
BE_205723,BE32,inside
BE_205734,BE22,inside
BE_205735,BE21,inside
BE_205736,BE22,inside
BE_205737,BE21,inside
BE_205738,BE24,inside
BE_205739,BE23,inside
BE_205740,BE25,inside
BE_205741,BE21,inside
BE_205742,BE21,inside
BE_205743,BE21,inside
BE_205757,BE22,inside
BE_205758,BE21,inside
BE_205759,BE21,inside
BE_205760,BE21,inside
BE_205761,BE21,inside
BE_205762,BE22,inside
BE_205763,BE23,inside
BE_205772,BE21,inside
BE_205779,BE22,inside
BE_205799,BE21,inside
BE_205932,BE32,inside
BE_205993,BE24,inside
BE_205998,BE23,inside
BE_206,BE33,inside
BE_206066,BE22,inside
BE_206091,BE24,inside
BE_206139,BE21,inside
BE_206202,BE32,inside
BE_206955,BE21,inside
BE_206957,BE23,inside
BE_206988,BE21,inside
BE_206989,BE24,inside
BE_206990,BE23,inside
BE_207,BE32,inside
BE_207682,BE33,inside
BE_207683,BE23,inside
BE_207686,BE33,inside
BE_207691,BE23,inside
BE_208,BE25,inside
BE_209,BE21,inside
BE_209004,BE32,inside
BE_209018,BE34,inside
BE_209023,BE34,inside
BE_21,BE31,inside
BE_210,BE32,inside
BE_210011,BE23,inside
BE_210012,BE24,inside
BE_210133,BE32,inside
BE_210582,BE33,inside
BE_210659,BE25,inside
BE_210661,BE25,inside
BE_210663,BE23,inside
BE_210664,BE25,inside
BE_210726,BE22,inside
BE_211,BE21,inside
BE_211998,BE32,inside
BE_212,BE21,inside
BE_213,BE22,inside
BE_214,BE21,inside
BE_214340,BE21,inside
BE_214360,BE23,inside
BE_214380,BE25,inside
BE_215,BE21,inside
BE_215020,BE23,inside
BE_215021,BE23,inside
BE_215022,BE23,inside
BE_215060,BE23,inside
BE_215200,BE21,inside
BE_215220,BE21,inside
BE_215240,BE21,inside
BE_215241,BE21,inside
BE_215820,BE21,inside
BE_215980,BE23,inside
BE_216,BE35,inside
BE_217,BE33,inside
BE_218,BE35,inside
BE_218200,BE25,inside
BE_218300,BE21,inside
BE_219,BE33,inside
BE_22,BE31,inside
BE_220,BE25,inside
BE_220832,BE23,inside
BE_221,BE23,inside
BE_221284,BE32,inside
BE_221286,BE32,inside
BE_222,BE21,inside
BE_222421,BE33,inside
BE_223,BE21,inside
BE_224,BE24,inside
BE_225,BE33,inside
BE_226,BE32,inside
BE_226692,BE25,inside
BE_226693,BE25,inside
BE_226694,BE21,inside
BE_227,BE25,inside
BE_228,BE21,inside
BE_228066,BE33,inside
BE_229,BE34,inside
BE_23,BE25,inside
BE_230,BE22,inside
BE_231,BE32,inside
BE_232,BE32,inside
BE_232201,BE21,inside
BE_232962,BE21,inside
BE_233,BE33,inside
BE_233200,BE23,inside
BE_233687,BE23,inside
BE_234,BE35,inside
BE_235,BE33,inside
BE_236,BE24,inside
BE_237,BE22,inside
BE_238,BE32,inside
BE_239,BE25,inside
BE_24,BE24,inside
BE_240,BE33,inside
BE_241,BE25,inside
BE_242,BE32,inside
BE_243,BE32,inside
BE_244,BE22,inside
BE_245,BE22,inside
BE_246,BE25,inside
BE_247,BE25,inside
BE_248,BE31,inside
BE_249,BE33,inside
BE_25,BE32,inside
BE_250,BE25,inside
BE_251,BE25,inside
BE_252,BE23,inside
BE_253,BE22,inside
BE_254,BE32,inside
BE_255,BE33,inside
BE_256,BE34,inside
BE_257,BE23,inside
BE_258,BE25,inside
BE_259,BE33,inside
BE_26,BE32,inside
BE_260,BE23,inside
BE_261,BE23,inside
BE_262,BE23,inside
BE_263,BE25,inside
BE_264,BE32,inside
BE_265,BE25,inside
BE_266,BE22,inside
BE_267,BE10,inside
BE_268,BE32,inside
BE_269,BE33,inside
BE_27,BE33,inside
BE_270,BE34,inside
BE_271,BE21,inside
BE_272,BE23,inside
BE_273,BE25,inside
BE_274,BE33,inside
BE_275,BE32,inside
BE_276,BE21,inside
BE_277,BE23,inside
BE_278,BE25,inside
BE_279,BE31,inside
BE_28,BE24,inside
BE_280,BE34,inside
BE_281,BE22,inside
BE_282,BE21,inside
BE_283,BE32,inside
BE_284,BE32,inside
BE_285,BE32,inside
BE_286,BE32,inside
BE_287,BE32,inside
BE_288,BE32,inside
BE_289,BE21,inside
BE_29,BE24,inside
BE_290,BE25,inside
BE_291,BE24,inside
BE_292,BE21,inside
BE_293,BE25,inside
BE_294,BE33,inside
BE_295,BE33,inside
BE_296,BE32,inside
BE_297,BE23,inside
BE_298,BE23,inside
BE_299,BE25,inside
BE_3,BE31,inside
BE_30,BE32,inside
BE_300,BE25,inside
BE_301,BE33,inside
BE_302,BE33,inside
BE_303,BE33,inside
BE_304,BE31,inside
BE_305,BE21,inside
BE_306,BE25,inside
BE_307,BE21,inside
BE_308,BE21,inside
BE_309,BE23,inside
BE_31,BE32,inside
BE_310,FRE1,inside
BE_311,BE21,inside
BE_312,BE24,inside
BE_313,BE23,inside
BE_314,BE23,inside
BE_315,BE25,inside
BE_316,BE22,inside
BE_317,BE33,inside
BE_318,BE21,inside
BE_319,BE23,inside
BE_32,BE32,inside
BE_320,BE21,inside
BE_322,BE10,inside
BE_323,BE34,inside
BE_326,BE24,inside
BE_327,BE25,inside
BE_33,BE32,inside
BE_34,BE32,inside
BE_35,BE22,inside
BE_36,BE22,inside
BE_37,BE22,inside
BE_38,BE22,inside
BE_39,BE21,inside
BE_40,BE21,inside
BE_41,BE21,inside
BE_42,BE22,inside
BE_428,BE21,inside
BE_429,BE25,inside
BE_43,BE32,inside
BE_430,BE21,inside
BE_44,BE23,inside
BE_45,BE34,inside
BE_46,BE21,inside
BE_47,BE21,inside
BE_48,BE35,inside
BE_49,BE23,inside
BE_50,BE33,inside
BE_51,BE21,inside
BE_52,BE24,inside
BE_528,BE21,inside
BE_53,BE25,inside
